"filename", "language", "Java", "XML", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\CampList.class", "Java", 97, 0, 0, 0, 0, 0, 0, 97
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Enquiry.class", "Java", 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\EnquiryList.class", "Java", 44, 0, 0, 0, 0, 0, 0, 44
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\EnquiryResponse.class", "Java", 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\EnquiryResponseList.class", "Java", 36, 0, 0, 0, 0, 0, 0, 36
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Interface\ICampInformation.class", "Java", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Staff.class", "Java", 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Student.class", "Java", 25, 0, 0, 0, 0, 0, 0, 25
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\SuggestionList.class", "Java", 77, 0, 0, 0, 0, 0, 0, 77
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\SC2002Assignment.iml", "XML", 0, 11, 0, 0, 0, 0, 0, 11
"Total", "-", 4354, 62, 282, 163, 2, 169, 818, 5850
